nama_produk,harga,nama_toko,lokasi,total_terjual,rating
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP - Original,Rp 22.000,,,1 rb+ terjual,4.9
Seblak Juara ! Seblak Instan Rasa Original - 2 Ori 4 Rd,Rp 115.000,,,2 rb+ terjual,4.9
CUANKIE JUARA! CUANKIE JAJANAN KULINER ENAK KHAS BANDUNG SATUAN - Ayam Bawang,Rp 22.000,,,250+ terjual,4.9
seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,tokomakanankalimantan,Jakarta Barat,1 rb+ terjual,4.8
"Kerupuk Seblak Rafael Viral - PEDAS DJ, 125 GRAM",Rp11.640,Golden Cakery,Jakarta Pusat,25 terjual,4.8
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp14.900,Lidigeli,Kab. Garut,2 terjual,
KERUPUK SEBLAK MENTAH ANEKA WARNA,Rp11.500,jajanangarut19,Jakarta Selatan,100+ terjual,4.9
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,Tangerang Selatan,1 rb+ terjual,5.0
seblak frozen,Rp10.400,pelangi girls naget,Jakarta Timur,2 rb+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10 rb+ terjual,4.8
Bumbu Seblak 200 g Dengan Kerupuk,Rp33.000,MSH Rempah,Jakarta Selatan,70+ terjual,5.0
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,Rp6.000,GK_Snack,Kab. Bandung,500+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,Tangerang Selatan,1 rb+ terjual,5.0
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10 rb+ terjual,4.8
seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,750+ terjual,4.8
Mommy Seblak Basah Instant 100gr,Rp10.000,emmoshop,Kab. Bogor,2 rb+ terjual,4.9
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,Tangerang Selatan,250+ terjual,4.8
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
Kerupuk Seblak kering pedas RIKI,Rp8.800,Van Kios,Bandung,1 rb+ terjual,4.9
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,Rp20.000,KailaAini_collection,Kab. Bandung,30+ terjual,5.0
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,Rp29.999,Pedas Gilaa,Surabaya,500+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
